merged_image_id,merged_file_path,merged_label_path,split,original_zip,original_split,species_inferred_from_zip,image_id,file_path,common_name,order,family,species,wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,image_quality,annotator,visibility_notes,notes
aedes_albopictus_img_000325,train/images/aedes_albopictus_img_000325.jpg,train/labels/aedes_albopictus_img_000325.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000325,Dataset/Aedes albopictus (Skuse)/img_000325.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000312,train/images/aedes_albopictus_img_000312.jpg,train/labels/aedes_albopictus_img_000312.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000312,Dataset/Aedes albopictus (Skuse)/img_000312.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000320,train/images/aedes_albopictus_img_000320.jpg,train/labels/aedes_albopictus_img_000320.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,valid,Aedes albopictus,img_000320,Dataset/Aedes albopictus (Skuse)/img_000320.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000295,train/images/aedes_albopictus_img_000295.jpg,train/labels/aedes_albopictus_img_000295.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000295,Dataset/Aedes albopictus (Skuse)/img_000295.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000303,train/images/aedes_albopictus_img_000303.jpg,train/labels/aedes_albopictus_img_000303.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000303,Dataset/Aedes albopictus (Skuse)/img_000303.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000308,train/images/aedes_albopictus_img_000308.jpg,train/labels/aedes_albopictus_img_000308.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000308,Dataset/Aedes albopictus (Skuse)/img_000308.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000282,train/images/aedes_albopictus_img_000282.jpg,train/labels/aedes_albopictus_img_000282.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,test,Aedes albopictus,img_000282,Dataset/Aedes albopictus (Skuse)/img_000282.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000310,train/images/aedes_albopictus_img_000310.jpg,train/labels/aedes_albopictus_img_000310.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,test,Aedes albopictus,img_000310,Dataset/Aedes albopictus (Skuse)/img_000310.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000330,train/images/aedes_albopictus_img_000330.jpg,train/labels/aedes_albopictus_img_000330.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000330,Dataset/Aedes albopictus (Skuse)/img_000330.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
aedes_albopictus_img_000307,train/images/aedes_albopictus_img_000307.jpg,train/labels/aedes_albopictus_img_000307.txt,train,Aedes albopictus -Skuse-Sin aumentacion.zip,train,Aedes albopictus,img_000307,Dataset/Aedes albopictus (Skuse)/img_000307.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,Angel,,
