image_id,"file_path
",common_name,order,family,species,wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,image_quality,annotator,visibility_notes
img_000001,Dataset/Aedes albopictus (Skuse)/img_000001.jpg,Asian tiger mosquito,Diptera,Culicidae,albopictus,one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,high,bruno,no se veía bien la boca 
img_000002,Dataset/Coccinella septempunctata Linnaeus/img_000002.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000003,Dataset/Coccinella septempunctata Linnaeus/img_000003.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000004,Dataset/Coccinella septempunctata Linnaeus/img_000004.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000005,Dataset/Coccinella septempunctata Linnaeus/img_000005.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000006,Dataset/Coccinella septempunctata Linnaeus/img_000006.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000007,Dataset/Coccinella septempunctata Linnaeus/img_000007.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000008,Dataset/Coccinella septempunctata Linnaeus/img_000008.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000009,Dataset/Coccinella septempunctata Linnaeus/img_000009.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,low,Bruno,completo
img_000010,Dataset/Coccinella septempunctata Linnaeus/img_000010.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000011,Dataset/Coccinella septempunctata Linnaeus/img_000011.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000012,Dataset/Coccinella septempunctata Linnaeus/img_000012.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000013,Dataset/Coccinella septempunctata Linnaeus/img_000013.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000014,Dataset/Coccinella septempunctata Linnaeus/img_000014.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000015,Dataset/Coccinella septempunctata Linnaeus/img_000015.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000016,Dataset/Coccinella septempunctata Linnaeus/img_000016.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000017,Dataset/Coccinella septempunctata Linnaeus/img_000017.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000018,Dataset/Coccinella septempunctata Linnaeus/img_000018.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000019,Dataset/Coccinella septempunctata Linnaeus/img_000019.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000020,Dataset/Coccinella septempunctata Linnaeus/img_000020.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000021,Dataset/Coccinella septempunctata Linnaeus/img_000021.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000022,Dataset/Coccinella septempunctata Linnaeus/img_000022.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000023,Dataset/Coccinella septempunctata Linnaeus/img_000023.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000024,Dataset/Coccinella septempunctata Linnaeus/img_000024.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000025,Dataset/Coccinella septempunctata Linnaeus/img_000025.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000026,Dataset/Coccinella septempunctata Linnaeus/img_000026.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000027,Dataset/Coccinella septempunctata Linnaeus/img_000027.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000028,Dataset/Coccinella septempunctata Linnaeus/img_000028.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000029,Dataset/Coccinella septempunctata Linnaeus/img_000029.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000030,Dataset/Coccinella septempunctata Linnaeus/img_000030.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000031,Dataset/Coccinella septempunctata Linnaeus/img_000031.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000032,Dataset/Coccinella septempunctata Linnaeus/img_000032.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000033,Dataset/Coccinella septempunctata Linnaeus/img_000033.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000034,Dataset/Coccinella septempunctata Linnaeus/img_000034.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000035,Dataset/Coccinella septempunctata Linnaeus/img_000035.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,low,Bruno,completo
img_000036,Dataset/Coccinella septempunctata Linnaeus/img_000036.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000037,Dataset/Coccinella septempunctata Linnaeus/img_000037.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000038,Dataset/Coccinella septempunctata Linnaeus/img_000038.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000039,Dataset/Coccinella septempunctata Linnaeus/img_000039.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,hay varios en una sola imagen
img_000040,Dataset/Coccinella septempunctata Linnaeus/img_000040.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000041,Dataset/Coccinella septempunctata Linnaeus/img_000041.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000042,Dataset/Coccinella septempunctata Linnaeus/img_000042.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000043,Dataset/Coccinella septempunctata Linnaeus/img_000043.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000044,Dataset/Coccinella septempunctata Linnaeus/img_000044.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000045,Dataset/Coccinella septempunctata Linnaeus/img_000045.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000046,Dataset/Coccinella septempunctata Linnaeus/img_000046.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000047,Dataset/Coccinella septempunctata Linnaeus/img_000047.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000048,Dataset/Coccinella septempunctata Linnaeus/img_000048.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000049,Dataset/Coccinella septempunctata Linnaeus/img_000049.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000050,Dataset/Coccinella septempunctata Linnaeus/img_000050.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000051,Dataset/Coccinella septempunctata Linnaeus/img_000051.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000052,Dataset/Coccinella septempunctata Linnaeus/img_000052.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000053,Dataset/Coccinella septempunctata Linnaeus/img_000053.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000054,Dataset/Coccinella septempunctata Linnaeus/img_000054.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000055,Dataset/Coccinella septempunctata Linnaeus/img_000055.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,low,Bruno,completo
img_000056,Dataset/Coccinella septempunctata Linnaeus/img_000056.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000057,Dataset/Coccinella septempunctata Linnaeus/img_000057.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000058,Dataset/Coccinella septempunctata Linnaeus/img_000058.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,high,Bruno,completo
img_000059,Dataset/Coccinella septempunctata Linnaeus/img_000059.jpg,sevenspotted lady beetle,Coleoptera,Coccinellidae,septempunctata,two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,medium,Bruno,completo
img_000060,Dataset/Danaus plexippus (Linnaeus)/img_000060.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000061,Dataset/Danaus plexippus (Linnaeus)/img_000061.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000062,Dataset/Danaus plexippus (Linnaeus)/img_000062.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000063,Dataset/Danaus plexippus (Linnaeus)/img_000063.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000064,Dataset/Danaus plexippus (Linnaeus)/img_000064.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,high,Bruno,completo
img_000065,Dataset/Danaus plexippus (Linnaeus)/img_000065.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,medium,Bruno,completo
img_000066,Dataset/Danaus plexippus (Linnaeus)/img_000066.jpg,monarch butterfly,Lepidoptera,Danaidae,plexippus,two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,medium,Bruno,completo
