Mosquito,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
one_pair,membranous,piercing_sucking,plumose,filiform,generalist,slender,no_waist,,
,,,,,,,,,
,,,,,,,,,
Honey Bee,,,,,,,,,
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
two_pairs,membranous,chewing,filiform,,generalist,elongated,narrow_waist,,
,,,,,,,,,
Monarch Butterfly,,,,,,,,,
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
two_pairs,scaly,siphoning,clavate,,generalist,slender,no_waist,,
,,,,,,,,,
Lady Beetle,,,,,,,,,
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
two_pairs,elytra,chewing,clavate,,generalist,rounded_domed,no_waist,,
,,,,,,,,,
Green lacewing,,,,,,,,,
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
two_pairs,membranous,chewing,filiform,,generalist,slender,no_waist,,
,,,,,,,,,
American cockroach,,,,,,,,,
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
two_pairs,tegmina,chewing,filiform,,running,oval_flat,no_waist,,
,,,,,,,,,
Grasshopper,,,,,,,,,
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
two_pairs,tegmina,chewing,filiform,,jumping,elongated,no_waist,,
,,,,,,,,,
Praying Mantis,,,,,,,,,
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
two_pairs,tegmina,chewing,filiform,,grasping,elongated,no_waist,,
,,,,,,,,,
Stink bug,,,,,,,,,
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
two_pairs,hemelytra,piercing_sucking,filiform,,generalist,shield_like,no_waist,,
,,,,,,,,,
Dragonfly,,,,,,,,,
wing_count,forewing_type,mouthpart_type,antenna_type,antenna_type_alt,leg_specialization,body_shape,waist_shape,,
two_pairs,membranous,chewing,setaceous,,generalist,slender,no_waist,,
,,,,,,,,,
,,,,,,,,,dissosteira carolina
